cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
0,1824006.1218339999,,20-29,2011,0,135,-520511347
0,2026022.5598910002,,20-29,2012,0,135,-520511347
0,2177142.5954819997,,20-29,2013,0,135,-520511347
0,2192866.95688,,20-29,2014,0,135,-520511347
0,2091940.087612,,20-29,2015,0,135,-520511347
16,2090036.229979,,20-29,2016,0.00765536968713732,135,-520511347
16,2093295.0882960001,,20-29,2017,0.007643451747180298,135,-520511347
8,2006754.5023949998,,20-29,2018,0.003986536464949871,135,-520511347
11,1877800.744696,,20-29,2019,0.005857916518070615,135,-520511347
9,1674323.2607800001,,20-29,2020,0.005375306077876061,135,-520511347
-5,1311951.471595,,20-29,2021,-0.0038111165757688196,135,-520511347
13,831486.858317,,20-29,2022,0.015634642772722956,135,-520511347
-5,134659.277207,,20-29,2023,-0.03713075031818219,135,-520511347
0,269132.03833,,30-39,2007,0,135,-520511347
0,605415.285421,,30-39,2008,0,135,-520511347
0,1082888.583162,,30-39,2009,0,135,-520511347
0,1553300.11499,,30-39,2010,0,135,-520511347
0,1894268.216291,,30-39,2011,0,135,-520511347
0,2097211.118412,,30-39,2012,0,135,-520511347
0,2261546.346338,,30-39,2013,0,135,-520511347
0,2296605.385353,,30-39,2014,0,135,-520511347
0,2219465.886379,,30-39,2015,0,135,-520511347
80,2264765.91102,,30-39,2016,0.0353237390278317,135,-520511347
145,2326981.2785759997,,30-39,2017,0.06231249100926717,135,-520511347
138,2278952.043806,,30-39,2018,0.060554148287179796,135,-520511347
126,2169859.917864,,30-39,2019,0.05806826466661213,135,-520511347
137,1969859.121149,,30-39,2020,0.0695481207407813,135,-520511347
119,1561020.158796,,30-39,2021,0.07623219939182821,135,-520511347
139,1010583.4469539999,,30-39,2022,0.13754430712175225,135,-520511347
52,172155.364819,,30-39,2023,0.302052742037238,135,-520511347
0,383428.70089000004,,40-49,2007,0,135,-520511347
0,827449.519507,,40-49,2008,0,135,-520511347
0,1422543.753594,,40-49,2009,0,135,-520511347
0,1991324.528406,,40-49,2010,0,135,-520511347
0,2384104.980151,,40-49,2011,0,135,-520511347
