cohort_id,concept_set_id,database_id,concept_id,concept_count,concept_subjects
135,44,-520511347,4270024,1177408,485115
135,44,-520511347,45766114,2932,1205
135,44,-520511347,45766241,8255,4019
135,45,-520511347,45605781,8255,4019
135,46,-520511347,1389593,-5,-5
135,46,-520511347,35225418,4646991,1164539
135,46,-520511347,37201936,-5,-5
135,46,-520511347,37201937,91076,57623
135,46,-520511347,37201938,1244,741
135,46,-520511347,37201939,190,134
135,46,-520511347,44836656,3740269,966698
135,46,-520511347,45585890,1047211,232432
135,46,-520511347,2023283127,264,227
135,46,-520511347,2023284550,-5,-5
135,46,-520511347,2023357909,64,57
135,46,-520511347,2023403954,8,8
135,46,-520511347,2023460284,276,244
135,46,-520511347,2023460730,355,347
135,46,-520511347,2023479878,-5,-5
135,46,-520511347,2023486745,-5,-5
135,46,-520511347,2023516834,257,249
135,46,-520511347,2023535624,10,10
135,46,-520511347,2023601483,1745,1694
135,46,-520511347,2023646415,349,334
135,46,-520511347,2023663811,66,66
135,46,-520511347,2023688694,832,803
135,46,-520511347,2023769010,-5,-5
135,46,-520511347,2023781577,2248,2164
135,46,-520511347,2023814486,-5,-5
135,46,-520511347,2023876569,22,22
135,46,-520511347,2023891959,94,90
135,46,-520511347,2023924664,26,26
135,46,-520511347,2023974936,6,5
135,46,-520511347,2024031332,-5,-5
135,46,-520511347,2024079551,-5,-5
135,46,-520511347,2024139353,131,128
135,46,-520511347,2024167597,-5,-5
135,46,-520511347,2024196963,367,294
135,46,-520511347,2024213299,3015,2743
135,46,-520511347,2024225382,161,152
135,46,-520511347,2024262814,19,19
135,46,-520511347,2024286050,27,27
135,46,-520511347,2024315501,367,332
135,46,-520511347,2024317501,105,103
135,46,-520511347,2024325424,20,19
135,46,-520511347,2024346346,-5,-5
135,46,-520511347,2024350246,6,6
135,46,-520511347,2024384768,7,7
135,46,-520511347,2024404798,14,13
135,46,-520511347,2024453133,8,8
135,46,-520511347,2024468456,189,172
135,46,-520511347,2024470280,-5,-5
135,46,-520511347,2024559913,23,21
135,46,-520511347,2024565846,210,201
135,46,-520511347,2024583115,-5,-5
135,46,-520511347,2024635502,69,63
135,46,-520511347,2024669170,30,29
135,46,-520511347,2024687142,172,170
135,46,-520511347,2024687277,252,220
135,46,-520511347,2024691549,17,17
135,46,-520511347,2024692095,-5,-5
135,46,-520511347,2024795859,233,185
135,46,-520511347,2024798038,48,48
135,46,-520511347,2024800216,2841,2618
135,46,-520511347,2024800772,-5,-5
135,46,-520511347,2024820725,-5,-5
135,46,-520511347,2024825226,19,17
135,46,-520511347,2024872550,808,729
135,46,-520511347,2024879253,-5,-5
135,46,-520511347,2024881180,-5,-5
135,46,-520511347,2024899647,12,11
135,46,-520511347,2024927219,47,47
135,46,-520511347,2025028094,1657,1523
135,46,-520511347,2025034392,8,7
