cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-520511347,2007-01-01,2023-06-30,T2,c,No matching concept,30-39,6,6,9825,0,6,6,0,6,6,0
135,-520511347,2007-01-01,2023-06-30,T2,c,MALE,30-39,4477,4477,4825788,0,4477,4477,0,4477,4477,0
135,-520511347,2007-01-01,2023-06-30,T2,c,FEMALE,10-19,47,47,76883,0,47,47,0,47,47,0
135,-520511347,2007-01-01,2023-06-30,T2,c,MALE,10-19,146,146,104491,0,146,146,0,146,146,0
135,-520511347,2007-01-01,2023-06-30,T2,c,FEMALE,0-9,-5,-5,111,0,-5,-5,0,-5,-5,0
135,-520511347,2007-01-01,2023-06-30,T2,c,FEMALE,20-29,339,339,515680,0,339,339,0,339,339,0
135,-520511347,2007-01-01,2023-06-30,T2,c,MALE,0-9,-5,-5,1698,0,-5,-5,0,-5,-5,0
135,-520511347,2007-01-01,2023-06-30,T2,c,MALE,40-49,8921,8921,10719810,0,8921,8921,0,8921,8921,0
135,-520511347,2007-01-01,2023-06-30,T2,c,No matching concept,40-49,11,11,21068,0,11,11,0,11,11,0
135,-520511347,2007-01-01,2023-06-30,T2,c,MALE,60-69,5575,5575,7978260,0,5575,5575,0,5575,5575,0
135,-520511347,2007-01-01,2023-06-30,T2,c,MALE,20-29,1180,1180,1223655,0,1180,1180,0,1180,1180,0
135,-520511347,2007-01-01,2023-06-30,T2,c,No matching concept,20-29,-5,-5,303,0,-5,-5,0,-5,-5,0
135,-520511347,2007-01-01,2023-06-30,T2,c,MALE,50-59,8689,8689,11489857,0,8689,8689,0,8689,8689,0
135,-520511347,2007-01-01,2023-06-30,T2,c,No matching concept,50-59,14,14,45800,0,14,14,0,14,14,0
135,-520511347,2007-01-01,2023-06-30,T2,c,FEMALE,50-59,3161,3161,5011283,0,3161,3161,0,3161,3161,0
135,-520511347,2007-01-01,2023-06-30,T2,c,FEMALE,40-49,2445,2445,4006611,0,2445,2445,0,2445,2445,0
135,-520511347,2007-01-01,2023-06-30,T2,c,FEMALE,60-69,3532,3532,5664521,0,3532,3532,0,3532,3532,0
135,-520511347,2007-01-01,2007-01-31,T2,m,NULL,NA,132,132,2186,0,132,132,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,MALE,NA,83,83,1345,0,83,83,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,FEMALE,NA,49,49,841,0,49,49,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,NULL,30-39,11,11,184,0,11,11,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,NULL,40-49,29,29,490,0,29,29,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,NULL,20-29,-5,-5,30,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,NULL,50-59,41,41,682,0,41,41,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,NULL,60-69,50,50,800,0,50,50,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,FEMALE,40-49,-5,-5,97,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,MALE,60-69,26,26,393,0,26,26,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,MALE,40-49,25,25,393,0,25,25,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,FEMALE,60-69,24,24,407,0,24,24,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,MALE,20-29,-5,-5,30,0,-5,-5,0,0,0,0
