database_id,cohort_definition_id,base_count,final_count,mode_id
-274552186,135,215140,62073,1
-274552186,144,18163,12207,0
-274552186,135,215140,62073,0
-274552186,475,2010193,2003893,1
-274552186,15997,2010193,2003893,1
-274552186,15997,2010193,2003893,0
-274552186,475,2010193,2003893,0
-274552186,144,18163,12207,1
