cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
191,1039102.893909,,40-49,2021,0.1838124031023312,135,449523062
156,1003799.8138260001,,40-49,2022,0.15540947293604623,135,449523062
81,436895.178645,,40-49,2023,0.18539916199399561,135,449523062
0,3230935.611225,,50-59,2015,0,135,449523062
979,3379287.430527,,50-59,2016,0.2897060460605225,135,449523062
768,2604134.781657,,50-59,2017,0.2949156109006481,135,449523062
538,1759086.5133469999,,50-59,2018,0.3058405575382144,135,449523062
561,1589107.906913,,50-59,2019,0.35302826042178487,135,449523062
523,1287022.061601,,50-59,2020,0.40636444052047604,135,449523062
503,1170827.1184120001,,50-59,2021,0.42961082135014256,135,449523062
528,1107029.242984,,50-59,2022,0.4769521702758048,135,449523062
248,474201.650923,,50-59,2023,0.5229842610570535,135,449523062
0,2135248.156058,,60-69,2015,0,135,449523062
874,2267380.783026,,60-69,2016,0.3854667934662379,135,449523062
807,1883579.022587,,60-69,2017,0.4284396833490036,135,449523062
619,1383919.093771,,60-69,2018,0.4472804824979366,135,449523062
730,1378528.720056,,60-69,2019,0.529550084361206,135,449523062
687,1281471.660506,,60-69,2020,0.5361023744596366,135,449523062
773,1280647.400411,,60-69,2021,0.6036009597582598,135,449523062
843,1294350.023271,,60-69,2022,0.6512921426536722,135,449523062
430,600927.110199,,60-69,2023,0.7155609935081867,135,449523062
0,1495194.7980840001,,70-79,2015,0,135,449523062
769,1522078.49692,,70-79,2016,0.5052301846166994,135,449523062
801,1399838.683094,,70-79,2017,0.5722087906797846,135,449523062
450,799757.494866,,70-79,2018,0.5626705631253857,135,449523062
547,843510.30527,,70-79,2019,0.6484805183558608,135,449523062
542,867093.730322,,70-79,2020,0.6250765990416346,135,449523062
599,910288.944558,,70-79,2021,0.6580328186791838,135,449523062
600,916329.229296,,70-79,2022,0.6547864902890522,135,449523062
311,469660.128679,,70-79,2023,0.6621809708964247,135,449523062
326,489948.621492,,80-89,2018,0.6653758898377123,135,449523062
352,514454.146476,,80-89,2019,0.6842203574627448,135,449523062
340,529396.057494,,80-89,2020,0.6422412769929884,135,449523062
363,553256.0793979999,,80-89,2021,0.6561157003371417,135,449523062
403,553183.110199,,80-89,2022,0.7285110347187324,135,449523062
214,286716.24093100004,,80-89,2023,0.7463825533744367,135,449523062
0,11162221.336071,Female,,2015,0,135,449523062
887,11832874.206707,Female,,2016,0.07496065490979688,135,449523062
739,8652774.020534,Female,,2017,0.08540613660385334,135,449523062
635,5983621.232033,Female,,2018,0.10612302740697574,135,449523062
742,5579320.30664,Female,,2019,0.13299110988787272,135,449523062
731,4667449.390827,Female,,2020,0.1566165883740794,135,449523062
748,4421382.655716,Female,,2021,0.16917784734894625,135,449523062
826,4291536.303901,Female,,2022,0.1924718659024665,135,449523062
394,1902729.713893,Female,,2023,0.20707092401152075,135,449523062
0,10229905.946611,Male,,2015,0,135,449523062
2264,10783696.164270999,Male,,2016,0.2099465679959698,135,449523062
2008,7845539.159481,Male,,2017,0.25594161971308466,135,449523062
1588,5484646.3216969995,Male,,2018,0.2895355337167226,135,449523062
1737,5120346.9733070005,Male,,2019,0.3392348231585076,135,449523062
1606,4348087.405887,Male,,2020,0.36935780035736876,135,449523062
1725,4124754.390144,Male,,2021,0.41820671895564143,135,449523062
1750,4026641.946612,Male,,2022,0.43460531708622435,135,449523062
923,1786563.060917,Male,,2023,0.5166344363608673,135,449523062
0,1421.204654,No matching concept,,2015,0,135,449523062
0,827.8822720000001,No matching concept,,2016,0,135,449523062
0,496.71458,No matching concept,,2017,0,135,449523062
0,226.989733,No matching concept,,2018,0,135,449523062
