database_id,cohort_id,mode_id,base_count,final_count
-274552186,135,1,215140,62073
-274552186,144,0,18163,12207
-274552186,135,0,215140,62073
-274552186,475,1,2010193,2003893
-274552186,15997,1,2010193,2003893
-274552186,15997,0,2010193,2003893
-274552186,475,0,2010193,2003893
-274552186,144,1,18163,12207
