ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2725895,42894695,4,4
2725895,2725954,4,4
2725895,42894651,4,4
2725895,2725961,4,4
2725895,42894661,4,4
2725895,2725471,4,4
2725895,2725913,4,4
2725895,2725948,4,4
2725895,42894675,4,4
2725895,42894603,4,4
2725895,42894627,4,4
3044933,3035033,1,1
3044933,3023614,1,1
2886224,2786060,1,1
2835862,2725953,1,1
3044933,3000526,1,1
2887794,2725964,1,1
3044933,3015618,1,1
4019824,2313878,0,1
4025033,45763962,5,5
4001709,43527996,1,1
4019824,44805203,1,1
4061139,2313914,0,1
4050128,42894675,2,2
4111199,4149943,3,3
4050128,42894475,2,2
4077953,2213536,3,3
4050128,2725958,2,2
4050128,2725470,2,2
4098040,4084945,2,2
4050128,42894609,2,2
4050128,2725471,2,2
4050128,2725940,2,2
4050128,42894659,2,2
4050128,42894628,2,2
4081765,37016900,1,1
4050128,2725953,2,2
4050128,42894691,2,2
4050128,43527999,2,2
4077953,2213535,3,3
4050128,42894695,2,2
4050128,2725945,2,2
4050128,42894669,2,2
4050128,2725932,2,2
4050128,2725934,2,2
4042504,2788625,4,5
4050128,2725947,2,2
4050128,42894627,2,2
4050128,42894603,2,2
4050128,42894663,2,2
4043188,2788617,2,3
4050128,42894661,2,2
4050128,43527996,2,2
4081765,44806492,1,1
4050128,3181809,3,3
4090698,2313871,1,2
4050128,2725948,2,2
4050128,2725964,2,2
4077953,2213541,4,4
4050128,2725924,2,2
4050128,42894651,2,2
4050128,2725943,2,2
4050128,2725933,2,2
4082510,2787579,1,1
4050128,2725913,2,2
4050128,42894624,2,2
4050128,42894604,2,2
4050128,42894633,2,2
4100474,4331514,1,1
4050128,2725931,2,2
4050128,4020653,2,3
4077972,4149943,4,4
4050128,2725961,2,2
4077953,2213540,4,4
4050128,2725954,2,2
4098333,2211763,0,1
4155793,2211763,4,8
4179874,4149127,4,4
4155793,2788631,3,8
4155793,44514109,4,5
4157005,4252226,1,1
4155793,4305021,4,5
4155793,4208906,6,7
4147710,42536993,1,1
4155793,2616266,5,6
4155793,4084945,4,5
4118446,2788631,2,2
4162054,2787197,1,1
4155793,2313914,4,8
4155793,2788617,5,8
4155793,4019824,4,5
4155793,2313878,4,6
4155793,44805203,5,6
4155793,2786060,4,6
4155793,4098216,4,5
4155793,4331514,4,5
4155793,2787579,4,7
4155793,2788625,4,6
4162054,2108583,4,5
4132623,2787197,3,3
4155793,4327260,4,5
4148418,4234767,2,2
4155793,4199240,4,6
4155793,2313871,3,6
4294168,42894663,1,1
4294168,2725940,1,1
4302076,2617369,5,5
4294168,42894675,1,1
4294168,42894661,1,1
4294168,2725961,1,1
4294168,42894659,1,1
4294168,2725943,1,1
4294168,2725964,1,1
4294168,2725913,1,1
4324523,2725924,4,4
4324523,2725953,3,4
4324523,42894624,4,4
4324523,42894661,2,4
4324523,42894603,3,4
4324523,43527996,4,4
4324523,43527999,4,4
4324523,3181809,5,6
4324523,2725933,3,4
4324523,4020653,4,5
4324523,2725934,3,4
4324523,42894669,3,4
4324523,2725964,2,4
4324523,2725961,2,4
4324523,2725943,2,4
4324523,2725954,3,4
4324523,42894627,4,4
4324523,2725947,4,4
4324523,42894691,4,4
4324523,2725470,3,4
4324523,2725471,3,4
4324523,42894695,4,4
4324523,42894675,2,4
4324523,2725948,4,4
4324523,42894663,2,4
4324523,42894609,3,4
4324523,2725945,4,4
4324523,2725940,2,4
4324523,2725931,3,4
4324523,42894628,4,4
4324523,42894604,3,4
4324523,2725913,2,4
4324523,2725932,3,4
4324523,42894475,4,4
4324523,42894633,4,4
4330993,4149943,2,2
4324523,2725958,3,4
4324523,42894659,2,4
4324523,42894651,3,4
37017419,2725932,2,2
37017419,2725945,2,2
37017419,42894651,2,2
37017419,2725948,2,2
37017419,42894663,2,2
37017419,2725961,2,2
37017419,42894633,2,2
37017419,42894609,2,2
37017419,2725924,2,2
37017419,42894675,2,2
37017419,42894628,2,2
37017419,42894627,2,2
37017419,2725964,2,2
37017419,42894659,2,2
37017419,43527996,2,2
37017419,2725940,2,2
37017419,2725933,2,2
37017419,42894475,2,2
37017419,42894661,2,2
37017419,42894695,2,2
